scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed
weekend_morning,LSA16,LSA16_N_id6,6,3600.0,4500.0,15.0,15.0,60.0,0.81,11.9,11.29
weekend_morning,LSA16,LSA16_N_id7,7,3600.0,4500.0,20.0,20.0,80.0,0.82,13.11,13.01
weekend_morning,LSA16,LSA16_S_id1,1,3600.0,4500.0,39.0,39.0,156.0,6.76,9.94,3.21
weekend_morning,LSA16,LSA16_S_id2,2,3600.0,4500.0,21.0,21.0,84.0,1.5,12.8,9.77
weekend_morning,LSA16,LSA16_S_id33,33,3600.0,4500.0,15.0,15.0,60.0,0.67,12.72,12.58
weekend_morning,LSA16,LSA16_W_id3,3,3600.0,4500.0,48.0,49.0,196.0,46.31,7.46,0.55
weekend_morning,LSA16,LSA16_W_id4,4,3600.0,4500.0,8.0,9.0,36.0,16.18,5.78,0.27
weekend_morning,LSA16,LSA16_W_id5,5,3600.0,4500.0,48.0,48.0,192.0,5.66,9.39,4.96
weekend_morning,LSA16,LSA16_Wout_id15,15,3600.0,4500.0,48.0,48.0,192.0,2.06,13.25,13.18
weekend_morning,LSA1,LSA1_E_id13,13,3600.0,4500.0,24.0,25.0,100.0,32.31,5.33,0.44
weekend_morning,LSA1,LSA1_E_id14,14,3600.0,4500.0,77.0,76.0,304.0,9.03,10.23,5.62
weekend_morning,LSA1,LSA1_E_id23,23,3600.0,4500.0,41.0,42.0,168.0,35.05,7.36,0.61
weekend_morning,LSA1,LSA1_E_id24,24,3600.0,4500.0,43.0,43.0,172.0,5.07,10.05,5.89
weekend_morning,LSA1,LSA1_E_id25,25,3600.0,4500.0,19.0,19.0,76.0,68.88,3.08,0.14
weekend_morning,LSA1,LSA1_E_id26,26,3600.0,4500.0,21.0,20.0,80.0,18.72,7.94,0.89
weekend_morning,LSA1,LSA1_E_id27,27,3600.0,4500.0,54.0,54.0,216.0,8.01,9.02,3.56
weekend_morning,LSA1,LSA1_N_id28,28,3600.0,4500.0,5.0,5.0,20.0,5.43,6.38,0.5
weekend_morning,LSA1,LSA1_N_id30,30,3600.0,4500.0,45.0,46.0,184.0,49.28,6.33,0.48
weekend_morning,LSA1,LSA1_N_id39,39,3600.0,4500.0,44.0,44.0,176.0,2.29,11.03,10.22
weekend_morning,LSA1,LSA1_N_id40,40,3600.0,4500.0,34.0,34.0,136.0,29.73,7.32,0.59
weekend_morning,LSA1,LSA1_S_id11,11,3600.0,4500.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekend_morning,LSA1,LSA1_S_id12,12,3600.0,4500.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekend_morning,LSA1,LSA1_W_id10,10,3600.0,4500.0,89.0,88.0,352.0,72.05,7.25,0.71
weekend_morning,LSA1,LSA1_W_id7,7,3600.0,4500.0,22.0,22.0,88.0,96.54,2.58,0.13
weekend_morning,LSA1,LSA1_W_id8,8,3600.0,4500.0,14.0,14.0,56.0,54.67,1.85,0.17
weekend_morning,LSA1,LSA1_W_id9,9,3600.0,4500.0,83.0,80.0,320.0,34.57,8.75,1.65
weekend_morning,LSA9,LSA9_E_id8,8,3600.0,4500.0,65.0,64.0,256.0,5.71,12.3,8.21
weekend_morning,LSA9,LSA9_E_id9,9,3600.0,4500.0,28.0,28.0,112.0,1.17,13.09,13.01
weekend_morning,LSA9,LSA9_S_id10,10,3600.0,4500.0,0.0,0.0,0.0,19.22,-1.0,-1.0
weekend_morning,LSA9,LSA9_WE_id4,4,3600.0,4500.0,9.0,9.0,36.0,23.16,2.82,0.2
weekend_morning,LSA9,LSA9_WE_id5,5,3600.0,4500.0,13.0,10.0,40.0,21.48,5.14,0.36
weekend_morning,LSA9,LSA9_WE_id6,6,3600.0,4500.0,7.0,7.0,28.0,0.37,11.61,11.46
weekend_morning,LSA9,LSA9_WE_id7,7,3600.0,4500.0,13.0,13.0,52.0,0.75,11.66,11.21
weekend_morning,LSA9,LSA9_W_id1,1,3600.0,4500.0,50.0,48.0,192.0,42.05,7.45,0.86
weekend_morning,LSA9,LSA9_W_id2,2,3600.0,4500.0,40.0,39.0,156.0,56.96,6.2,0.6
