block_id,start_time,end_time,date,K1,K2,K3,K4,K5,K6,pattern,stage,program,n_seconds,duration_s
130,2026-03-10 08:14:09+01:00,2026-03-10 08:14:21+01:00,2026-03-10,2,2,4,4,2,2,2-2-4-4-2-2,6,3,13,13
131,2026-03-10 08:14:22+01:00,2026-03-10 08:14:24+01:00,2026-03-10,2,2,4,3,2,2,2-2-4-3-2-2,6,3,3,3
132,2026-03-10 08:14:25+01:00,2026-03-10 08:14:27+01:00,2026-03-10,2,2,4,2,2,2,2-2-4-2-2-2,6,3,3,3
133,2026-03-10 08:14:28+01:00,2026-03-10 08:14:28+01:00,2026-03-10,5,2,4,2,2,2,5-2-4-2-2-2,6,3,1,1
134,2026-03-10 08:14:29+01:00,2026-03-10 08:14:50+01:00,2026-03-10,4,2,4,2,2,2,4-2-4-2-2-2,1,3,22,22
135,2026-03-10 08:14:51+01:00,2026-03-10 08:14:53+01:00,2026-03-10,4,2,3,2,2,2,4-2-3-2-2-2,2,3,3,3
136,2026-03-10 08:14:54+01:00,2026-03-10 08:14:54+01:00,2026-03-10,4,2,2,2,2,5,4-2-2-2-2-5,2,3,1,1
137,2026-03-10 08:14:55+01:00,2026-03-10 08:15:08+01:00,2026-03-10,4,2,2,2,2,4,4-2-2-2-2-4,5,3,14,14
138,2026-03-10 08:15:09+01:00,2026-03-10 08:15:11+01:00,2026-03-10,3,2,2,2,2,4,3-2-2-2-2-4,5,3,3,3
139,2026-03-10 08:15:12+01:00,2026-03-10 08:15:14+01:00,2026-03-10,2,2,2,2,2,3,2-2-2-2-2-3,5,3,3,3
140,2026-03-10 08:15:15+01:00,2026-03-10 08:15:15+01:00,2026-03-10,2,5,2,2,5,2,2-5-2-2-5-2,5,3,1,1
141,2026-03-10 08:15:16+01:00,2026-03-10 08:15:36+01:00,2026-03-10,2,4,2,2,4,2,2-4-2-2-4-2,5,3,21,21
142,2026-03-10 08:15:37+01:00,2026-03-10 08:15:37+01:00,2026-03-10,2,3,2,2,4,2,2-3-2-2-4-2,4,3,1,1
143,2026-03-10 08:15:38+01:00,2026-03-10 08:15:39+01:00,2026-03-10,2,3,2,2,3,2,2-3-2-2-3-2,4,3,2,2
144,2026-03-10 08:15:40+01:00,2026-03-10 08:15:40+01:00,2026-03-10,2,2,2,2,3,2,2-2-2-2-3-2,4,3,1,1
145,2026-03-10 08:15:41+01:00,2026-03-10 08:15:43+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,4,3,3,3
146,2026-03-10 08:15:44+01:00,2026-03-10 08:15:44+01:00,2026-03-10,5,2,2,2,2,2,5-2-2-2-2-2,4,3,1,1
147,2026-03-10 08:15:45+01:00,2026-03-10 08:15:45+01:00,2026-03-10,4,2,5,2,2,2,4-2-5-2-2-2,4,3,1,1
148,2026-03-10 08:15:46+01:00,2026-03-10 08:16:20+01:00,2026-03-10,4,2,4,2,2,2,4-2-4-2-2-2,1,3,35,35
149,2026-03-10 08:16:21+01:00,2026-03-10 08:16:23+01:00,2026-03-10,4,2,3,2,2,2,4-2-3-2-2-2,2,3,3,3
150,2026-03-10 08:16:24+01:00,2026-03-10 08:16:24+01:00,2026-03-10,4,2,2,2,2,5,4-2-2-2-2-5,2,3,1,1
151,2026-03-10 08:16:25+01:00,2026-03-10 08:16:33+01:00,2026-03-10,4,2,2,2,2,4,4-2-2-2-2-4,5,3,9,9
152,2026-03-10 08:16:34+01:00,2026-03-10 08:16:36+01:00,2026-03-10,3,2,2,2,2,4,3-2-2-2-2-4,5,3,3,3
153,2026-03-10 08:16:37+01:00,2026-03-10 08:16:39+01:00,2026-03-10,2,2,2,2,2,3,2-2-2-2-2-3,5,3,3,3
154,2026-03-10 08:16:40+01:00,2026-03-10 08:16:40+01:00,2026-03-10,2,5,2,2,5,2,2-5-2-2-5-2,5,3,1,1
155,2026-03-10 08:16:41+01:00,2026-03-10 08:17:00+01:00,2026-03-10,2,4,2,2,4,2,2-4-2-2-4-2,5,3,20,20
156,2026-03-10 08:17:01+01:00,2026-03-10 08:17:03+01:00,2026-03-10,2,3,2,2,3,2,2-3-2-2-3-2,4,3,3,3
157,2026-03-10 08:17:04+01:00,2026-03-10 08:17:06+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,4,3,3,3
158,2026-03-10 08:17:07+01:00,2026-03-10 08:17:07+01:00,2026-03-10,2,2,5,5,2,2,2-2-5-5-2-2,4,3,1,1
159,2026-03-10 08:17:08+01:00,2026-03-10 08:17:15+01:00,2026-03-10,2,2,4,4,2,2,2-2-4-4-2-2,6,3,8,8
160,2026-03-10 08:17:16+01:00,2026-03-10 08:17:18+01:00,2026-03-10,2,2,4,3,2,2,2-2-4-3-2-2,6,3,3,3
161,2026-03-10 08:17:19+01:00,2026-03-10 08:17:21+01:00,2026-03-10,2,2,4,2,2,2,2-2-4-2-2-2,6,3,3,3
162,2026-03-10 08:17:22+01:00,2026-03-10 08:17:22+01:00,2026-03-10,5,2,4,2,2,2,5-2-4-2-2-2,6,3,1,1
163,2026-03-10 08:17:23+01:00,2026-03-10 08:18:02+01:00,2026-03-10,4,2,4,2,2,2,4-2-4-2-2-2,1,3,40,40
164,2026-03-10 08:18:03+01:00,2026-03-10 08:18:05+01:00,2026-03-10,3,2,3,2,2,2,3-2-3-2-2-2,2,3,3,3
165,2026-03-10 08:18:06+01:00,2026-03-10 08:18:08+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,2,3,3,3
166,2026-03-10 08:18:09+01:00,2026-03-10 08:18:09+01:00,2026-03-10,2,5,2,2,5,2,2-5-2-2-5-2,2,3,1,1
167,2026-03-10 08:18:10+01:00,2026-03-10 08:18:31+01:00,2026-03-10,2,4,2,2,4,2,2-4-2-2-4-2,3,3,22,22
168,2026-03-10 08:18:32+01:00,2026-03-10 08:18:34+01:00,2026-03-10,2,3,2,2,3,2,2-3-2-2-3-2,4,3,3,3
169,2026-03-10 08:18:35+01:00,2026-03-10 08:18:37+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,4,3,3,3
170,2026-03-10 08:18:38+01:00,2026-03-10 08:18:38+01:00,2026-03-10,2,2,5,5,2,2,2-2-5-5-2-2,4,3,1,1
171,2026-03-10 08:18:39+01:00,2026-03-10 08:18:45+01:00,2026-03-10,2,2,4,4,2,2,2-2-4-4-2-2,6,3,7,7
172,2026-03-10 08:18:46+01:00,2026-03-10 08:18:48+01:00,2026-03-10,2,2,4,3,2,2,2-2-4-3-2-2,6,3,3,3
173,2026-03-10 08:18:49+01:00,2026-03-10 08:18:51+01:00,2026-03-10,2,2,4,2,2,2,2-2-4-2-2-2,6,3,3,3
174,2026-03-10 08:18:52+01:00,2026-03-10 08:18:52+01:00,2026-03-10,5,2,4,2,2,2,5-2-4-2-2-2,6,3,1,1
175,2026-03-10 08:18:53+01:00,2026-03-10 08:19:20+01:00,2026-03-10,4,2,4,2,2,2,4-2-4-2-2-2,1,3,28,28
176,2026-03-10 08:19:21+01:00,2026-03-10 08:19:23+01:00,2026-03-10,4,2,3,2,2,2,4-2-3-2-2-2,2,3,3,3
177,2026-03-10 08:19:24+01:00,2026-03-10 08:19:24+01:00,2026-03-10,4,2,2,2,2,5,4-2-2-2-2-5,2,3,1,1
178,2026-03-10 08:19:25+01:00,2026-03-10 08:19:31+01:00,2026-03-10,4,2,2,2,2,4,4-2-2-2-2-4,5,3,7,7
179,2026-03-10 08:19:32+01:00,2026-03-10 08:19:34+01:00,2026-03-10,3,2,2,2,2,4,3-2-2-2-2-4,5,3,3,3
180,2026-03-10 08:19:35+01:00,2026-03-10 08:19:37+01:00,2026-03-10,2,2,2,2,2,3,2-2-2-2-2-3,5,3,3,3
181,2026-03-10 08:19:38+01:00,2026-03-10 08:19:38+01:00,2026-03-10,2,5,2,2,5,2,2-5-2-2-5-2,5,3,1,1
182,2026-03-10 08:19:39+01:00,2026-03-10 08:19:59+01:00,2026-03-10,2,4,2,2,4,2,2-4-2-2-4-2,5,3,21,21
183,2026-03-10 08:20:00+01:00,2026-03-10 08:20:02+01:00,2026-03-10,2,3,2,2,3,2,2-3-2-2-3-2,4,3,3,3
