intersection,date,timestamp_utc,timestamp_local,time,begin_s,end_s,detector_id,sumo_id,approach,edge_id,movement,count_type,from_edge,to_edge,count,occupancy,speed
LD-LSA16,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1,LSA16_S_id1,South,,,,,,22,6,0
LD-LSA16,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,2,LSA16_S_id2,South,,,,,,16,4,0
LD-LSA16,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,3,LSA16_W_id3,West,,,,,,40,46,0
LD-LSA16,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,4,LSA16_W_id4,West,,,,,,10,23,0
LD-LSA16,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,5,LSA16_W_id5,West,,,,,,40,24,0
LD-LSA16,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,6,LSA16_N_id6,North,,,,,,8,4,0
LD-LSA16,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,7,LSA16_N_id7,North,,,,,,29,12,0
LD-LSA16,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,10,LSA16_E_id10,East,,,,,,44,14,0
LD-LSA16,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,11,LSA16_E_id11,East,,,,,,21,3,0
LD-LSA16,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,13,LSA16_Eout_id13,East-Exit,,,,,,74,8,0
LD-LSA16,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,15,LSA16_Wout_id15,West-Exit,,,,,,51,13,0
LD-LSA16,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,33,LSA16_S_id33,South,,,,,,28,10,0
LD-LSA16,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,1,LSA16_S_id1,South,,,,,,41,13,0
LD-LSA16,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2,LSA16_S_id2,South,,,,,,32,9,0
LD-LSA16,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,3,LSA16_W_id3,West,,,,,,44,48,0
LD-LSA16,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,4,LSA16_W_id4,West,,,,,,9,7,0
LD-LSA16,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,5,LSA16_W_id5,West,,,,,,50,33,0
LD-LSA16,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,6,LSA16_N_id6,North,,,,,,6,1,0
LD-LSA16,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,7,LSA16_N_id7,North,,,,,,28,11,0
LD-LSA16,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,10,LSA16_E_id10,East,,,,,,45,14,0
LD-LSA16,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,11,LSA16_E_id11,East,,,,,,25,3,0
LD-LSA16,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,13,LSA16_Eout_id13,East-Exit,,,,,,97,21,0
LD-LSA16,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,15,LSA16_Wout_id15,West-Exit,,,,,,55,4,0
LD-LSA16,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,33,LSA16_S_id33,South,,,,,,37,20,0
LD-LSA16,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,1,LSA16_S_id1,South,,,,,,35,26,0
LD-LSA16,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,2,LSA16_S_id2,South,,,,,,14,12,0
LD-LSA16,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3,LSA16_W_id3,West,,,,,,45,51,0
LD-LSA16,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,4,LSA16_W_id4,West,,,,,,11,24,0
