intersection,timestamp,detector_id,count,occupancy,velocity
LDLSA16,2025-09-18 18:30:00+00:00,33,22,9,0
LDLSA16,2025-09-18 18:45:00+00:00,1,40,19,0
LDLSA16,2025-09-18 18:45:00+00:00,2,13,6,0
LDLSA16,2025-09-18 18:45:00+00:00,3,38,30,0
LDLSA16,2025-09-18 18:45:00+00:00,4,4,12,0
LDLSA16,2025-09-18 18:45:00+00:00,5,35,15,0
LDLSA16,2025-09-18 18:45:00+00:00,6,7,1,0
LDLSA16,2025-09-18 18:45:00+00:00,7,16,8,0
LDLSA16,2025-09-18 18:45:00+00:00,8,40,31,0
LDLSA16,2025-09-18 18:45:00+00:00,9,20,21,0
LDLSA16,2025-09-18 18:45:00+00:00,10,30,22,0
LDLSA16,2025-09-18 18:45:00+00:00,11,19,10,0
LDLSA16,2025-09-18 18:45:00+00:00,12,0,0,0
LDLSA16,2025-09-18 18:45:00+00:00,13,76,13,0
LDLSA16,2025-09-18 18:45:00+00:00,14,45,6,0
LDLSA16,2025-09-18 18:45:00+00:00,15,54,16,0
LDLSA16,2025-09-18 18:45:00+00:00,16,0,0,0
LDLSA16,2025-09-18 18:45:00+00:00,17,0,0,0
LDLSA16,2025-09-18 18:45:00+00:00,18,0,0,0
LDLSA16,2025-09-18 18:45:00+00:00,19,0,0,0
LDLSA16,2025-09-18 18:45:00+00:00,20,0,0,0
LDLSA16,2025-09-18 18:45:00+00:00,21,24,0,0
LDLSA16,2025-09-18 18:45:00+00:00,22,0,0,0
LDLSA16,2025-09-18 18:45:00+00:00,23,0,0,0
LDLSA16,2025-09-18 18:45:00+00:00,24,0,100,0
LDLSA16,2025-09-18 18:45:00+00:00,25,0,0,0
LDLSA16,2025-09-18 18:45:00+00:00,26,0,0,0
LDLSA16,2025-09-18 18:45:00+00:00,27,0,0,0
LDLSA16,2025-09-18 18:45:00+00:00,28,0,0,0
LDLSA16,2025-09-18 18:45:00+00:00,29,0,0,0
LDLSA16,2025-09-18 18:45:00+00:00,30,0,0,0
LDLSA16,2025-09-18 18:45:00+00:00,31,5,1,0
LDLSA16,2025-09-18 18:45:00+00:00,32,6,0,0
LDLSA16,2025-09-18 18:45:00+00:00,33,16,3,0
LDLSA16,2025-09-18 19:00:00+00:00,1,32,13,0
LDLSA16,2025-09-18 19:00:00+00:00,2,9,2,0
LDLSA16,2025-09-18 19:00:00+00:00,3,32,38,0
LDLSA16,2025-09-18 19:00:00+00:00,4,2,6,0
LDLSA16,2025-09-18 19:00:00+00:00,5,27,21,0
LDLSA16,2025-09-18 19:00:00+00:00,6,11,3,0
LDLSA16,2025-09-18 19:00:00+00:00,7,29,19,0
LDLSA16,2025-09-18 19:00:00+00:00,8,40,23,0
LDLSA16,2025-09-18 19:00:00+00:00,9,26,24,0
LDLSA16,2025-09-18 19:00:00+00:00,10,30,20,0
LDLSA16,2025-09-18 19:00:00+00:00,11,25,13,0
LDLSA16,2025-09-18 19:00:00+00:00,12,0,0,0
LDLSA16,2025-09-18 19:00:00+00:00,13,67,12,0
LDLSA16,2025-09-18 19:00:00+00:00,14,52,6,0
LDLSA16,2025-09-18 19:00:00+00:00,15,53,7,0
LDLSA16,2025-09-18 19:00:00+00:00,16,1,0,0
LDLSA16,2025-09-18 19:00:00+00:00,17,1,0,0
LDLSA16,2025-09-18 19:00:00+00:00,18,0,0,0
LDLSA16,2025-09-18 19:00:00+00:00,19,1,0,0
LDLSA16,2025-09-18 19:00:00+00:00,20,0,0,0
LDLSA16,2025-09-18 19:00:00+00:00,21,0,0,0
LDLSA16,2025-09-18 19:00:00+00:00,22,0,0,0
LDLSA16,2025-09-18 19:00:00+00:00,23,0,0,0
LDLSA16,2025-09-18 19:00:00+00:00,24,0,100,0
LDLSA16,2025-09-18 19:00:00+00:00,25,0,0,0
LDLSA16,2025-09-18 19:00:00+00:00,26,0,0,0
LDLSA16,2025-09-18 19:00:00+00:00,27,0,0,0
LDLSA16,2025-09-18 19:00:00+00:00,28,0,0,0
LDLSA16,2025-09-18 19:00:00+00:00,29,0,0,0
LDLSA16,2025-09-18 19:00:00+00:00,30,0,0,0
