timestamp,west_left,west_straight,west_right,west_total,east_total,north_total,south_total,corridor_out
2025-09-06 18:00:00+00:00,8,44,6,58,83,29,57,83
2025-09-06 18:15:00+00:00,9,49,0,58,74,29,68,97
2025-09-06 18:30:00+00:00,9,32,0,41,77,22,73,79
2025-09-06 18:45:00+00:00,4,26,0,30,78,18,61,63
2025-09-06 19:00:00+00:00,6,26,0,32,51,17,52,57
2025-09-06 19:15:00+00:00,9,32,0,41,56,23,43,60
2025-09-06 19:30:00+00:00,2,20,6,28,67,15,41,54
2025-09-06 19:45:00+00:00,6,33,0,39,52,17,43,58
2025-09-06 20:00:00+00:00,4,40,0,44,73,15,40,72
2025-09-06 20:15:00+00:00,1,35,0,36,67,17,44,65
2025-09-06 20:30:00+00:00,5,18,7,30,56,19,34,44
2025-09-06 20:45:00+00:00,2,17,2,21,48,11,42,47
2025-09-06 21:00:00+00:00,2,16,1,19,37,14,41,32
2025-09-06 21:15:00+00:00,3,24,5,32,36,15,31,44
2025-09-06 21:30:00+00:00,4,20,4,28,44,13,38,46
2025-09-06 21:45:00+00:00,4,9,3,16,37,13,29,23
2025-09-06 22:00:00+00:00,1,5,0,6,30,12,29,21
2025-09-06 22:15:00+00:00,2,14,2,18,31,8,27,32
2025-09-06 22:30:00+00:00,2,7,4,13,25,8,14,19
2025-09-06 22:45:00+00:00,4,15,3,22,32,12,15,29
2025-09-06 23:00:00+00:00,1,11,1,13,26,15,14,21
2025-09-06 23:15:00+00:00,3,8,3,14,21,12,16,16
2025-09-06 23:30:00+00:00,1,6,2,9,21,11,15,12
2025-09-06 23:45:00+00:00,1,2,2,5,16,4,9,7
2025-09-07 00:00:00+00:00,1,9,1,11,20,6,12,13
2025-09-07 00:15:00+00:00,0,3,0,3,6,4,16,6
2025-09-07 00:30:00+00:00,5,3,0,8,8,10,12,3
2025-09-07 00:45:00+00:00,2,6,1,9,8,2,3,8
2025-09-07 01:00:00+00:00,2,4,0,6,10,5,6,7
2025-09-07 01:15:00+00:00,0,4,0,4,4,2,3,5
2025-09-07 01:30:00+00:00,0,1,0,1,9,4,11,6
2025-09-07 01:45:00+00:00,0,4,2,6,5,1,8,7
2025-09-07 02:00:00+00:00,1,0,1,2,5,2,4,2
2025-09-07 02:15:00+00:00,2,1,0,3,9,9,3,2
2025-09-07 02:30:00+00:00,4,3,1,8,3,3,8,5
2025-09-07 02:45:00+00:00,2,4,0,6,6,3,4,6
2025-09-07 03:00:00+00:00,0,4,2,6,8,4,9,10
2025-09-07 03:15:00+00:00,1,3,2,6,7,3,9,7
2025-09-07 03:30:00+00:00,2,5,1,8,5,10,13,7
2025-09-07 03:45:00+00:00,1,0,3,4,9,3,13,5
2025-09-07 04:00:00+00:00,0,3,0,3,11,3,4,5
2025-09-07 04:15:00+00:00,0,11,0,11,5,4,14,12
2025-09-07 04:30:00+00:00,0,10,3,13,10,3,8,14
2025-09-07 04:45:00+00:00,0,8,2,10,13,2,12,11
2025-09-07 05:00:00+00:00,2,6,0,8,16,3,9,12
2025-09-07 05:15:00+00:00,1,13,4,18,11,4,7,13
2025-09-07 05:30:00+00:00,0,5,1,6,16,6,20,17
2025-09-07 05:45:00+00:00,2,15,1,18,12,2,16,23
2025-09-07 06:00:00+00:00,2,15,1,18,17,6,19,25
2025-09-07 06:15:00+00:00,2,15,1,18,27,13,14,28
2025-09-07 06:30:00+00:00,0,12,5,17,23,16,27,23
2025-09-07 06:45:00+00:00,2,25,0,27,31,9,39,44
2025-09-07 07:00:00+00:00,3,27,0,30,37,10,48,46
2025-09-07 07:15:00+00:00,6,30,2,38,38,24,38,57
2025-09-07 07:30:00+00:00,6,29,0,35,61,22,54,55
2025-09-07 07:45:00+00:00,8,47,0,55,59,20,70,80
2025-09-07 08:00:00+00:00,5,46,1,52,73,19,71,90
2025-09-07 08:15:00+00:00,6,71,0,77,74,37,73,105
2025-09-07 08:30:00+00:00,8,39,3,50,74,21,59,67
2025-09-07 08:45:00+00:00,7,65,0,72,86,30,76,105
2025-09-07 09:00:00+00:00,8,42,9,59,89,32,88,99
2025-09-07 09:15:00+00:00,9,61,0,70,81,25,67,97
