scenario,lsa,approach,signal_group,analysis_begin_s,analysis_end_s,bin_no,bin_label,sim_count_15min,sim_flow_mean,sim_occupancy_mean,n_detectors_used,sim_count_hourly_equivalent
weekday_morning,LSA9,west,K1,0.0,900.0,1,00-15,175.0,350.0,38.295,2,700.0
weekday_morning,LSA9,west,K1,900.0,1800.0,2,15-30,155.0,310.0,41.325,2,620.0
weekday_morning,LSA9,west,K1,1800.0,2700.0,3,30-45,128.0,250.0,26.055,2,512.0
weekday_morning,LSA9,west,K1,2700.0,3600.0,4,45-60,130.0,256.0,31.385,2,520.0
weekend_evening,LSA1,east,K4,0.0,900.0,1,00-15,102.0,202.0,36.165,2,408.0
weekend_evening,LSA1,east,K4,900.0,1800.0,2,15-30,93.0,190.0,30.17,2,372.0
weekend_evening,LSA1,east,K4,1800.0,2700.0,3,30-45,92.0,174.0,31.48,2,368.0
weekend_evening,LSA1,east,K4,2700.0,3600.0,4,45-60,105.0,214.0,28.605,2,420.0
weekend_evening,LSA1,east,K5,0.0,900.0,1,00-15,30.0,120.0,7.37,1,120.0
weekend_evening,LSA1,east,K5,900.0,1800.0,2,15-30,20.0,80.0,1.35,1,80.0
weekend_evening,LSA1,east,K5,1800.0,2700.0,3,30-45,29.0,116.0,1.75,1,116.0
weekend_evening,LSA1,east,K5,2700.0,3600.0,4,45-60,30.0,120.0,23.67,1,120.0
weekend_evening,LSA1,east,K6,0.0,900.0,1,00-15,42.0,168.0,6.76,1,168.0
weekend_evening,LSA1,east,K6,900.0,1800.0,2,15-30,35.0,140.0,5.72,1,140.0
weekend_evening,LSA1,east,K6,1800.0,2700.0,3,30-45,33.0,132.0,6.33,1,132.0
weekend_evening,LSA1,east,K6,2700.0,3600.0,4,45-60,46.0,184.0,10.63,1,184.0
weekend_evening,LSA1,north,K7,0.0,900.0,1,00-15,69.0,138.0,33.95,2,276.0
weekend_evening,LSA1,north,K7,900.0,1800.0,2,15-30,51.0,102.0,33.585,2,204.0
weekend_evening,LSA1,north,K7,1800.0,2700.0,3,30-45,52.0,106.0,35.785,2,208.0
weekend_evening,LSA1,north,K7,2700.0,3600.0,4,45-60,50.0,100.0,31.825,2,200.0
weekend_evening,LSA1,north,K8,0.0,900.0,1,00-15,37.0,148.0,25.49,1,148.0
weekend_evening,LSA1,north,K8,900.0,1800.0,2,15-30,32.0,128.0,29.69,1,128.0
weekend_evening,LSA1,north,K8,1800.0,2700.0,3,30-45,37.0,148.0,29.5,1,148.0
weekend_evening,LSA1,north,K8,2700.0,3600.0,4,45-60,38.0,152.0,32.5,1,152.0
weekend_evening,LSA1,south,K3,0.0,900.0,1,00-15,0.0,0.0,0.0,1,0.0
weekend_evening,LSA1,south,K3,900.0,1800.0,2,15-30,0.0,0.0,0.0,1,0.0
weekend_evening,LSA1,south,K3,1800.0,2700.0,3,30-45,0.0,0.0,0.0,1,0.0
weekend_evening,LSA1,south,K3,2700.0,3600.0,4,45-60,0.0,0.0,0.0,1,0.0
weekend_evening,LSA1,west,K1,0.0,900.0,1,00-15,44.0,176.0,87.86,1,176.0
weekend_evening,LSA1,west,K1,900.0,1800.0,2,15-30,47.0,188.0,76.29,1,188.0
weekend_evening,LSA1,west,K1,1800.0,2700.0,3,30-45,46.0,180.0,83.32,1,184.0
weekend_evening,LSA1,west,K1,2700.0,3600.0,4,45-60,31.0,128.0,56.94,1,124.0
weekend_evening,LSA1,west,K2,0.0,900.0,1,00-15,90.0,360.0,48.57,1,360.0
weekend_evening,LSA1,west,K2,900.0,1800.0,2,15-30,102.0,408.0,49.4,1,408.0
weekend_evening,LSA1,west,K2,1800.0,2700.0,3,30-45,101.0,404.0,49.13,1,404.0
weekend_evening,LSA1,west,K2,2700.0,3600.0,4,45-60,98.0,392.0,43.48,1,392.0
weekend_evening,LSA10,east,K4,0.0,900.0,1,00-15,95.0,186.0,9.86,2,380.0
weekend_evening,LSA10,east,K4,900.0,1800.0,2,15-30,98.0,194.0,8.52,2,392.0
weekend_evening,LSA10,east,K4,1800.0,2700.0,3,30-45,100.0,198.0,4.225,2,400.0
weekend_evening,LSA10,east,K4,2700.0,3600.0,4,45-60,95.0,190.0,6.34,2,380.0
weekend_evening,LSA10,north_east,K3,0.0,900.0,1,00-15,5.0,20.0,0.51,1,20.0
weekend_evening,LSA10,north_east,K3,900.0,1800.0,2,15-30,5.0,20.0,0.39,1,20.0
weekend_evening,LSA10,north_east,K3,1800.0,2700.0,3,30-45,6.0,24.0,4.6,1,24.0
weekend_evening,LSA10,north_east,K3,2700.0,3600.0,4,45-60,8.0,32.0,10.22,1,32.0
weekend_evening,LSA10,north_west,K2,0.0,900.0,1,00-15,17.0,34.0,9.89,2,68.0
weekend_evening,LSA10,north_west,K2,900.0,1800.0,2,15-30,20.0,40.0,6.905,2,80.0
weekend_evening,LSA10,north_west,K2,1800.0,2700.0,3,30-45,28.0,56.0,14.254999999999999,2,112.0
weekend_evening,LSA10,north_west,K2,2700.0,3600.0,4,45-60,18.0,36.0,2.885,2,72.0
weekend_evening,LSA10,south,K5,0.0,900.0,1,00-15,10.0,40.0,13.33,1,40.0
weekend_evening,LSA10,south,K5,900.0,1800.0,2,15-30,14.0,56.0,5.45,1,56.0
weekend_evening,LSA10,south,K5,1800.0,2700.0,3,30-45,12.0,44.0,17.47,1,48.0
weekend_evening,LSA10,south,K5,2700.0,3600.0,4,45-60,13.0,56.0,10.81,1,52.0
weekend_evening,LSA10,west,K1,0.0,900.0,1,00-15,97.0,388.0,10.9,1,388.0
weekend_evening,LSA10,west,K1,900.0,1800.0,2,15-30,113.0,452.0,41.26,1,452.0
weekend_evening,LSA10,west,K1,1800.0,2700.0,3,30-45,108.0,432.0,13.63,1,432.0
weekend_evening,LSA10,west,K1,2700.0,3600.0,4,45-60,77.0,308.0,9.64,1,308.0
weekend_evening,LSA16,east,K4,0.0,900.0,1,00-15,95.0,190.0,16.455,2,380.0
weekend_evening,LSA16,east,K4,900.0,1800.0,2,15-30,89.0,178.0,2.395,2,356.0
weekend_evening,LSA16,east,K4,1800.0,2700.0,3,30-45,88.0,176.0,7.055,2,352.0
weekend_evening,LSA16,east,K4,2700.0,3600.0,4,45-60,92.0,184.0,9.72,2,368.0
weekend_evening,LSA16,north,K3,0.0,900.0,1,00-15,36.0,72.0,0.78,2,144.0
weekend_evening,LSA16,north,K3,900.0,1800.0,2,15-30,45.0,90.0,0.9950000000000001,2,180.0
weekend_evening,LSA16,north,K3,1800.0,2700.0,3,30-45,46.0,92.0,1.61,2,184.0
weekend_evening,LSA16,north,K3,2700.0,3600.0,4,45-60,50.0,100.0,2.765,2,200.0
weekend_evening,LSA16,south,K1,0.0,900.0,1,00-15,85.0,113.33333333333333,7.053333333333332,3,340.0
weekend_evening,LSA16,south,K1,900.0,1800.0,2,15-30,97.0,129.33333333333334,7.696666666666666,3,388.0
weekend_evening,LSA16,south,K1,1800.0,2700.0,3,30-45,77.0,102.66666666666667,5.84,3,308.0
weekend_evening,LSA16,south,K1,2700.0,3600.0,4,45-60,70.0,93.33333333333333,4.14,3,280.0
weekend_evening,LSA16,west,K2,0.0,900.0,1,00-15,55.0,108.0,33.975,2,220.0
weekend_evening,LSA16,west,K2,900.0,1800.0,2,15-30,80.0,162.0,41.97,2,320.0
weekend_evening,LSA16,west,K2,1800.0,2700.0,3,30-45,70.0,138.0,36.144999999999996,2,280.0
weekend_evening,LSA16,west,K2,2700.0,3600.0,4,45-60,64.0,128.0,39.07,2,256.0
weekend_evening,LSA9,east,K3,0.0,900.0,1,00-15,135.0,268.0,7.0,2,540.0
weekend_evening,LSA9,east,K3,900.0,1800.0,2,15-30,125.0,246.0,5.944999999999999,2,500.0
weekend_evening,LSA9,east,K3,1800.0,2700.0,3,30-45,119.0,232.0,6.6000000000000005,2,476.0
weekend_evening,LSA9,east,K3,2700.0,3600.0,4,45-60,143.0,278.0,9.085,2,572.0
weekend_evening,LSA9,north_west,K2,0.0,900.0,1,00-15,23.0,46.0,22.340000000000003,2,92.0
weekend_evening,LSA9,north_west,K2,900.0,1800.0,2,15-30,24.0,44.0,28.615000000000002,2,96.0
weekend_evening,LSA9,north_west,K2,1800.0,2700.0,3,30-45,29.0,56.0,32.22,2,116.0
weekend_evening,LSA9,north_west,K2,2700.0,3600.0,4,45-60,20.0,38.0,24.23,2,80.0
weekend_evening,LSA9,south,K4,0.0,900.0,1,00-15,8.0,32.0,44.33,1,32.0
weekend_evening,LSA9,south,K4,900.0,1800.0,2,15-30,7.0,24.0,41.77,1,28.0
weekend_evening,LSA9,south,K4,1800.0,2700.0,3,30-45,5.0,24.0,44.2,1,20.0
weekend_evening,LSA9,south,K4,2700.0,3600.0,4,45-60,4.0,16.0,15.36,1,16.0
weekend_evening,LSA9,west,K1,0.0,900.0,1,00-15,137.0,270.0,45.870000000000005,2,548.0
weekend_evening,LSA9,west,K1,900.0,1800.0,2,15-30,163.0,320.0,39.730000000000004,2,652.0
weekend_evening,LSA9,west,K1,1800.0,2700.0,3,30-45,168.0,330.0,44.065,2,672.0
