scenario,lsa,approach,signal_group,analysis_begin_s,analysis_end_s,bin_no,bin_label,sim_count_15min,sim_flow_mean,sim_occupancy_mean,n_detectors_used,sim_count_hourly_equivalent,cycle_time_s,green_time_s,green_share,demand_vph,capacity_vph,v_c_ratio,status,comparison_note
weekday_morning,LSA1,east,K5,900.0,1800.0,2,15-30,33.0,132.0,11.17,1,132.0,82.0,9.0,0.1097560975609756,132.0,197.56097560975607,0.6681481481481483,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,east,K5,1800.0,2700.0,3,30-45,42.0,168.0,28.56,1,168.0,82.0,9.0,0.1097560975609756,168.0,197.56097560975607,0.8503703703703704,near capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,east,K5,2700.0,3600.0,4,45-60,39.0,156.0,60.42,1,156.0,82.0,9.0,0.1097560975609756,156.0,197.56097560975607,0.7896296296296298,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,east,K6,0.0,900.0,1,00-15,78.0,312.0,11.87,1,312.0,82.0,55.0,0.6707317073170732,312.0,1207.3170731707319,0.2584242424242424,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,east,K6,900.0,1800.0,2,15-30,70.0,280.0,8.19,1,280.0,82.0,55.0,0.6707317073170732,280.0,1207.3170731707319,0.23191919191919189,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,east,K6,1800.0,2700.0,3,30-45,71.0,284.0,15.16,1,284.0,82.0,55.0,0.6707317073170732,284.0,1207.3170731707319,0.2352323232323232,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,east,K6,2700.0,3600.0,4,45-60,72.0,288.0,9.93,1,288.0,82.0,55.0,0.6707317073170732,288.0,1207.3170731707319,0.2385454545454545,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,north,K7,0.0,900.0,1,00-15,84.0,170.0,43.875,2,336.0,82.0,22.0,0.2682926829268293,336.0,482.9268292682927,0.6957575757575758,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,north,K7,900.0,1800.0,2,15-30,88.0,176.0,40.56,2,352.0,82.0,22.0,0.2682926829268293,352.0,482.9268292682927,0.7288888888888889,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,north,K7,1800.0,2700.0,3,30-45,82.0,164.0,46.745000000000005,2,328.0,82.0,22.0,0.2682926829268293,328.0,482.9268292682927,0.6791919191919191,below capacity,simulation-side only; no direct real saturation comparison
