scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,analysis_begin_s,analysis_end_s,bin_no,bin_label,approach,movement,signal_group
weekday_evening,LSA16,LSA16_E_id11,11,900.0,1800.0,68.0,67.0,268.0,22.92,7.44,1.87,0.0,900.0,1,00-15,east,left,K4
weekday_evening,LSA16,LSA16_N_id6,6,900.0,1800.0,28.0,29.0,116.0,4.82,9.9,1.81,0.0,900.0,1,00-15,north,right,K3
weekday_evening,LSA16,LSA16_N_id7,7,900.0,1800.0,26.0,26.0,104.0,1.5,12.12,9.39,0.0,900.0,1,00-15,north,straight,K3
weekday_evening,LSA16,LSA16_S_id1,1,900.0,1800.0,57.0,58.0,232.0,31.62,8.33,0.97,0.0,900.0,1,00-15,south,right,K1
weekday_evening,LSA16,LSA16_S_id2,2,900.0,1800.0,29.0,29.0,116.0,1.56,12.28,11.72,0.0,900.0,1,00-15,south,straight,K1
weekday_evening,LSA16,LSA16_S_id33,33,900.0,1800.0,18.0,19.0,76.0,0.85,12.61,12.37,0.0,900.0,1,00-15,south,straight,K1
weekday_evening,LSA16,LSA16_W_id3,3,900.0,1800.0,63.0,62.0,248.0,52.15,8.27,0.68,0.0,900.0,1,00-15,west,straight,K2
weekday_evening,LSA16,LSA16_W_id4,4,900.0,1800.0,10.0,10.0,40.0,27.38,5.65,0.18,0.0,900.0,1,00-15,west,left,K2
weekday_evening,LSA1,LSA1_E_id13,13,900.0,1800.0,52.0,52.0,208.0,35.02,7.13,0.7,0.0,900.0,1,00-15,east,straight_right,K4
weekday_evening,LSA1,LSA1_E_id23,23,900.0,1800.0,85.0,86.0,344.0,40.92,8.16,1.07,0.0,900.0,1,00-15,east,straight,K4
weekday_evening,LSA1,LSA1_E_id26,26,900.0,1800.0,40.0,41.0,164.0,15.25,7.32,1.35,0.0,900.0,1,00-15,east,left,K5
weekday_evening,LSA1,LSA1_E_id27,27,900.0,1800.0,68.0,68.0,272.0,10.36,9.34,3.39,0.0,900.0,1,00-15,east,right,K6
weekday_evening,LSA1,LSA1_N_id28,28,900.0,1800.0,16.0,17.0,68.0,32.31,4.77,0.32,0.0,900.0,1,00-15,north,straight,K7
weekday_evening,LSA1,LSA1_N_id30,30,900.0,1800.0,84.0,85.0,340.0,75.96,8.08,0.57,0.0,900.0,1,00-15,north,left,K7
weekday_evening,LSA1,LSA1_N_id40,40,900.0,1800.0,49.0,49.0,196.0,31.11,8.18,0.82,0.0,900.0,1,00-15,north,right,K8
weekday_evening,LSA1,LSA1_S_id11,11,900.0,1800.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,900.0,1,00-15,south,straight_faulty,K3
weekday_evening,LSA1,LSA1_W_id7,7,900.0,1800.0,49.0,48.0,192.0,71.72,6.87,0.37,0.0,900.0,1,00-15,west,left,K1
weekday_evening,LSA1,LSA1_W_id9,9,900.0,1800.0,79.0,79.0,316.0,41.78,8.11,0.91,0.0,900.0,1,00-15,west,straight_right,K2
weekday_evening,LSA9,LSA9_E_id8,8,900.0,1800.0,80.0,76.0,304.0,13.42,9.19,4.43,0.0,900.0,1,00-15,east,straight_right,K3
weekday_evening,LSA9,LSA9_E_id9,9,900.0,1800.0,56.0,55.0,220.0,22.45,8.61,1.27,0.0,900.0,1,00-15,east,straight,K3
weekday_evening,LSA9,LSA9_S_id10,10,900.0,1800.0,11.0,11.0,44.0,25.65,3.39,0.21,0.0,900.0,1,00-15,south,multi_movement,K4
weekday_evening,LSA9,LSA9_WE_id4,4,900.0,1800.0,17.0,18.0,72.0,40.73,3.51,0.22,0.0,900.0,1,00-15,north_west,straight_right,K2
weekday_evening,LSA9,LSA9_WE_id5,5,900.0,1800.0,16.0,14.0,56.0,30.93,2.34,0.24,0.0,900.0,1,00-15,north_west,movement,K2
weekday_evening,LSA9,LSA9_W_id1,1,900.0,1800.0,90.0,89.0,356.0,54.8,9.72,1.21,0.0,900.0,1,00-15,west,straight_right,K1
