block_id,start_time,end_time,date,K1,K2,K3,K4,pattern,stage,program,n_seconds,duration_s
187,2026-03-10 08:21:19+01:00,2026-03-10 08:21:21+01:00,2026-03-10,2,3,2,2,2-3-2-2,3,3,3,3
188,2026-03-10 08:21:22+01:00,2026-03-10 08:21:23+01:00,2026-03-10,2,2,2,2,2-2-2-2,3,3,2,2
189,2026-03-10 08:21:24+01:00,2026-03-10 08:21:24+01:00,2026-03-10,2,2,5,2,2-2-5-2,3,3,1,1
190,2026-03-10 08:21:25+01:00,2026-03-10 08:21:28+01:00,2026-03-10,2,2,4,2,2-2-4-2,3,3,4,4
191,2026-03-10 08:21:29+01:00,2026-03-10 08:21:29+01:00,2026-03-10,5,2,4,2,5-2-4-2,3,3,1,1
192,2026-03-10 08:21:30+01:00,2026-03-10 08:22:04+01:00,2026-03-10,4,2,4,2,4-2-4-2,3,3,35,35
193,2026-03-10 08:22:05+01:00,2026-03-10 08:22:07+01:00,2026-03-10,4,2,3,2,4-2-3-2,1,3,3,3
194,2026-03-10 08:22:08+01:00,2026-03-10 08:22:33+01:00,2026-03-10,4,2,2,2,4-2-2-2,1,3,26,26
195,2026-03-10 08:22:34+01:00,2026-03-10 08:22:36+01:00,2026-03-10,3,2,2,2,3-2-2-2,2,3,3,3
196,2026-03-10 08:22:37+01:00,2026-03-10 08:22:40+01:00,2026-03-10,2,2,2,2,2-2-2-2,2,3,4,4
197,2026-03-10 08:22:41+01:00,2026-03-10 08:22:41+01:00,2026-03-10,2,2,2,5,2-2-2-5,2,3,1,1
198,2026-03-10 08:22:42+01:00,2026-03-10 08:22:50+01:00,2026-03-10,2,2,2,4,2-2-2-4,2,3,9,9
199,2026-03-10 08:22:51+01:00,2026-03-10 08:22:53+01:00,2026-03-10,2,2,2,3,2-2-2-3,4,3,3,3
200,2026-03-10 08:22:54+01:00,2026-03-10 08:22:59+01:00,2026-03-10,2,2,2,2,2-2-2-2,4,3,6,6
201,2026-03-10 08:23:00+01:00,2026-03-10 08:23:00+01:00,2026-03-10,5,2,5,2,5-2-5-2,4,3,1,1
202,2026-03-10 08:23:01+01:00,2026-03-10 08:23:44+01:00,2026-03-10,4,2,4,2,4-2-4-2,4,3,44,44
203,2026-03-10 08:23:45+01:00,2026-03-10 08:23:47+01:00,2026-03-10,3,2,3,2,3-2-3-2,1,3,3,3
204,2026-03-10 08:23:48+01:00,2026-03-10 08:23:52+01:00,2026-03-10,2,2,2,2,2-2-2-2,1,3,5,5
205,2026-03-10 08:23:53+01:00,2026-03-10 08:23:53+01:00,2026-03-10,2,5,2,2,2-5-2-2,1,3,1,1
